,duration,Text,InteractionType,ID,time,segment,InteractionType1
792,6,Armsdealing 95,Mouse_hover,Armsdealing 95,4287.5,19,1
793,1213,Armsdealing 95,Doc_open,Armsdealing 95,4288.2,19,5
794,10,Armsdealing 95,Reading,Armsdealing 95,4288.3,19,6
795,10,Armsdealing 95,Draging,Armsdealing 95,4288.9,19,4
796,10, I know with your committment to our mutual business goals you will be able to persevere through sickness for our successful meeting.,Highlight,Armsdealing 95,4307.9,19,0
797,183,Armsdealing 95,Reading,Armsdealing 95,4308.0,19,6
799,23,Armsdealing 95,Draging,Armsdealing 95,4323.8,19,4
800,46,Armsdealing 81,Doc_open,Armsdealing 81,4327.2,19,5
801,8,Armsdealing 81,Reading,Armsdealing 81,4327.3,19,6
802,447,Armsdealing 95,Reading,Armsdealing 95,4332.6,19,6
805,5,Armsdealing 95,Reading,Armsdealing 95,4382.7,19,6
806,112,Armsdealing 95,Reading,Armsdealing 95,4383.5,19,6
807,33,Armsdealing 95,Draging,Armsdealing 95,4397.2,19,4
808,14,Armsdealing 95,Draging,Armsdealing 95,4410.4,19,4
809,13,Armsdealing 85,Mouse_hover,Armsdealing 85,4426.3,19,1
811,9,Armsdealing 92,Mouse_hover,Armsdealing 92,4455.4,19,1
812,13,Armsdealing 17,Mouse_hover,Armsdealing 17,4462.7,19,1
813,11,Armsdealing 59,Draging,Armsdealing 59,4465.9,19,4
814,6,Armsdealing 95,Mouse_hover,Armsdealing 95,4470.4,19,1
815,272,Armsdealing 95,Doc_open,Armsdealing 95,4471.1,19,5
816,6,Armsdealing 95,Reading,Armsdealing 95,4471.2,19,6
817,61,Armsdealing 95,Draging,Armsdealing 95,4471.7,19,4
818,11,Armsdealing 17,Draging,Armsdealing 17,4478.9,19,4
819,19,Armsdealing 25,Draging,Armsdealing 25,4480.5,19,4
820,5,Armsdealing 95,Reading,Armsdealing 95,4482.6,19,6
821,5,Armsdealing 95,Reading,Armsdealing 95,4484.3,19,6
822,7,Armsdealing 95,Mouse_hover,Armsdealing 95,4498.7,19,1
823,12,Armsdealing 95,Draging,Armsdealing 95,4499.5,19,4
824,8,Armsdealing 64,Mouse_hover,Armsdealing 64,4502.4,19,1
825,16,Armsdealing 64,Draging,Armsdealing 64,4503.3,19,4
826,10,Armsdealing 63,Mouse_hover,Armsdealing 63,4505.6,19,1
827,15,Armsdealing 63,Draging,Armsdealing 63,4506.7,19,4
828,34,Armsdealing 86,Draging,Armsdealing 86,4509.0,19,4
829,16,Armsdealing 62,Draging,Armsdealing 62,4513.3,19,4
830,32,Armsdealing 86,Mouse_hover,Armsdealing 86,4520.0,19,1
831,13,Armsdealing 62,Mouse_hover,Armsdealing 62,4523.3,19,1
832,144,Armsdealing 83,Mouse_hover,Armsdealing 83,4524.7,19,1
833,10,infection,Search,0,4548.5,19,2
834,10,columbia,Search,0,4556.0,19,2
835,176,Armsdealing 62,Doc_open,Armsdealing 62,4558.8,19,5
836,9,Armsdealing 69,Mouse_hover,Armsdealing 69,4579.2,19,1
837,11,Armsdealing 90,Mouse_hover,Armsdealing 90,4586.9,19,1
838,49,Armsdealing 90,Doc_open,Armsdealing 90,4588.1,19,5
839,8,Armsdealing 70,Mouse_hover,Armsdealing 70,4593.9,19,1
840,162,Armsdealing 70,Doc_open,Armsdealing 70,4594.8,19,5
841,113,Armsdealing 70,Mouse_hover,Armsdealing 70,4614.4,20,1
842,7,Armsdealing 87,Mouse_hover,Armsdealing 87,4626.4,20,1
843,83,Armsdealing 87,Doc_open,Armsdealing 87,4627.2,20,5
844,45,Armsdealing 88,Mouse_hover,Armsdealing 88,4637.2,20,1
845,35,Armsdealing 90,Mouse_hover,Armsdealing 90,4642.9,20,1
846,34,Armsdealing 93,Doc_open,Armsdealing 93,4649.3,20,5
847,10,Jhon and Hombre exchanging birthday present,Add note,0,4654.2,21,8
848,19,Armsdealing 6,Mouse_hover,Armsdealing 6,4662.4,21,1
849,32,Armsdealing 6,Doc_open,Armsdealing 6,4664.4,21,5
850,10,Above is my first understanding not the final results,Add note,0,4693.2,21,8
851,14,Armsdealing 3,Mouse_hover,Armsdealing 3,4737.1,22,1
852,141,Armsdealing 3,Doc_open,Armsdealing 3,4738.6,22,5
853,393,Armsdealing 2,Doc_open,Armsdealing 2,4753.6,22,5
854,14,Armsdealing 2,Reading,Armsdealing 2,4753.7,24,6
855,28,Armsdealing 1,Mouse_hover,Armsdealing 1,4755.1,24,1
856,141,Armsdealing 1,Mouse_hover,Armsdealing 1,4795.2,24,1
